epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.8096,1.50452,1.23934,1.31452,0.81714,0.88022,0.90076,0.52421,1.33776,2.6702,1.31092,0.000659722,0.000659722,0.000659722
2,130.571,1.3577,0.82846,1.26116,0.89183,0.82828,0.91979,0.48927,1.579,1.32778,1.64441,0.00127386,0.00127386,0.00127386
3,190.856,1.40244,0.85699,1.29806,0.87865,0.9325,0.94665,0.58501,1.32496,1.2331,1.42789,0.00183521,0.00183521,0.00183521
4,251.165,1.31399,0.74392,1.25172,0.96872,0.9386,0.97738,0.62391,1.31347,0.9016,1.3797,0.0017624,0.0017624,0.0017624
5,312.081,1.30167,0.7051,1.23717,0.90458,0.93363,0.95301,0.60755,1.27096,0.79149,1.34041,0.0016832,0.0016832,0.0016832
6,372.375,1.27067,0.6708,1.22713,0.97017,0.9798,0.99019,0.6706,1.24971,0.56396,1.37675,0.001604,0.001604,0.001604
7,433.066,1.21921,0.63089,1.20913,0.97783,0.98485,0.98723,0.64194,1.24599,0.62475,1.34889,0.0015248,0.0015248,0.0015248
8,493.772,1.23472,0.61565,1.20756,0.97714,0.99495,0.98811,0.67042,1.20162,0.56703,1.33048,0.0014456,0.0014456,0.0014456
9,553.886,1.2063,0.5934,1.18416,0.96792,0.99055,0.99189,0.67242,1.17485,0.54729,1.3313,0.0013664,0.0013664,0.0013664
10,614.688,1.21339,0.58636,1.1891,0.97066,0.97727,0.98873,0.67072,1.20991,0.51141,1.33979,0.0012872,0.0012872,0.0012872
11,674.836,1.18413,0.56261,1.17401,0.97994,0.98679,0.98779,0.6969,1.1595,0.48814,1.30458,0.001208,0.001208,0.001208
12,739.613,1.16932,0.5443,1.17758,0.98679,0.99242,0.99139,0.68213,1.14079,0.51428,1.2992,0.0011288,0.0011288,0.0011288
13,799.953,1.1607,0.53786,1.16791,0.98799,0.98485,0.99287,0.68406,1.15829,0.49156,1.3132,0.0010496,0.0010496,0.0010496
14,860.061,1.14956,0.534,1.16762,0.98987,0.98733,0.99253,0.7042,1.16395,0.47868,1.30649,0.0009704,0.0009704,0.0009704
15,920.941,1.13663,0.51881,1.16084,0.99493,0.99208,0.99201,0.70326,1.15431,0.46421,1.31042,0.0008912,0.0008912,0.0008912
16,981.843,1.10288,0.49423,1.20393,0.99437,0.99495,0.99271,0.70514,1.15125,0.47767,1.30807,0.000812,0.000812,0.000812
17,1046.52,1.11385,0.48946,1.20592,0.98987,0.98727,0.99231,0.71566,1.1473,0.47377,1.28787,0.0007328,0.0007328,0.0007328
18,1108.11,1.08747,0.46835,1.1877,0.9922,0.9899,0.99209,0.71444,1.13314,0.47274,1.28692,0.0006536,0.0006536,0.0006536
19,1167.67,1.09476,0.46847,1.19962,0.99465,0.99242,0.99239,0.7121,1.13967,0.45303,1.29501,0.0005744,0.0005744,0.0005744
20,1227.61,1.07849,0.44802,1.19106,0.99494,0.99216,0.99403,0.7233,1.13369,0.43583,1.28308,0.0004952,0.0004952,0.0004952
21,1290.25,1.06257,0.44185,1.16598,0.99493,0.99198,0.9927,0.71874,1.11621,0.42095,1.29105,0.000416,0.000416,0.000416
22,1350.68,1.03258,0.4191,1.16049,0.99472,0.99242,0.99228,0.72846,1.10959,0.43267,1.27918,0.0003368,0.0003368,0.0003368
23,1416.22,1.0224,0.41578,1.14711,0.99242,0.99176,0.99436,0.73417,1.08863,0.40469,1.26838,0.0002576,0.0002576,0.0002576
24,1482,1.01404,0.41032,1.1521,0.99745,0.98883,0.99436,0.72803,1.11475,0.39838,1.27896,0.0001784,0.0001784,0.0001784
25,1541.4,1.00637,0.40219,1.13589,0.99745,0.98941,0.99444,0.73449,1.10265,0.4007,1.27677,9.92e-05,9.92e-05,9.92e-05
